LABID,Genetic_ID,SEX,species,Latitude,Longitude,Chiv_2002_strata,Chiv2002_Strata Symbol,Strata_final,Strata_fine scale,Crossman_strata,AK_STRATA_1,AK_STRATA_2,AK_STRATA_3,Wcoast1,Wcoast2,Wcoast3,Wcoast4,Wcoast4_num,AK1_USwest,AK2_USwest,AK3_USwest,AK3_Wcoast3,AK3_Wcoast4,Num_AK3_WC4,AK3_WC4_num,Geog_sort,Crossman1,Crossman2,sample_Notes,PM_strata_notes,Haplotypes
107033,107033,,Ppho,59.6,-151.4,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,estimated location based on description,,CR05
73645,73645,,Ppho,60.2,-151.46,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,,,
73646,73646,,Ppho,60.2,-151.46,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,,,CR55
91071,91071,,Ppho,59.55,-151.48,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,"Kachemak Bay, Cook Inlet",,CR22
28910,28910,,Ppho,59.65,-151.55,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,,,CR20
28911,28911,,Ppho,59.65,-151.55,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,,,CR20
144312,144312,,Ppho,60.5344,-151.5623,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,,,CR48
57788,57788,,Ppho,60.033333,-151.65,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,,,,,,GULF_OF_AK,WESTERN_GOA,COOK_INLET,COOK_INLET,COOK_INLET,18_COOK_INLET,18_COOK_INLET,8,,,,,CR54
4844,4844,,Ppho,60.216666,-144.816666,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,COPPER_RIVER,COPPER_RIVER,19_COPPER_RIVER,19_COPPER_RIVER,9,,,,,CR01
5569,5569_1,,Ppho,60.216666,-144.833333,,,,,,,,COPPER_RIVER,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,COPPER_RIVER,COPPER_RIVER,19_COPPER_RIVER,19_COPPER_RIVER,9,,,,,CR13
4847,4847,,Ppho,60.35,-145,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,COPPER_RIVER,COPPER_RIVER,19_COPPER_RIVER,19_COPPER_RIVER,9,,,,,CR01
851,851,,Ppho,60.216666,-145.033333,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,COPPER_RIVER,COPPER_RIVER,19_COPPER_RIVER,19_COPPER_RIVER,9,,,,,CR10
4845,4845,,Ppho,60.25,-145.333333,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,COPPER_RIVER,COPPER_RIVER,19_COPPER_RIVER,19_COPPER_RIVER,9,,,,,CR01
5568,5568_1,,Ppho,60.316666,-145.45,,,,,,,,COPPER_RIVER,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,COPPER_RIVER,COPPER_RIVER,19_COPPER_RIVER,19_COPPER_RIVER,9,,,,,CR53
5570,5570,,Ppho,60.366666,-145.75,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,COPPER_RIVER,COPPER_RIVER,19_COPPER_RIVER,19_COPPER_RIVER,9,,,,,CR01
8767,8767,,Ppho,60.55,-145.766666,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,COPPER_RIVER,COPPER_RIVER,19_COPPER_RIVER,19_COPPER_RIVER,9,,,,,CR58
853,853,,Ppho,60.283333,-145.766666,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,COPPER_RIVER,COPPER_RIVER,19_COPPER_RIVER,19_COPPER_RIVER,9,,,,,CR21
854,854,,Ppho,60.283333,-145.766666,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,COPPER_RIVER,COPPER_RIVER,19_COPPER_RIVER,19_COPPER_RIVER,9,,,,,CR22
849,849,,Ppho,60.366666,-145.85,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,COPPER_RIVER,COPPER_RIVER,19_COPPER_RIVER,19_COPPER_RIVER,9,,,,,CR57
4846,4846,,Ppho,60.533333,-145.9,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,COPPER_RIVER,COPPER_RIVER,19_COPPER_RIVER,19_COPPER_RIVER,9,,,,,CR01
852,852,,Ppho,60.333333,-146.1,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,COPPER_RIVER,COPPER_RIVER,19_COPPER_RIVER,19_COPPER_RIVER,9,,,,,CR01
4842,4842,,Ppho,60.383333,-146.116666,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,COPPER_RIVER,COPPER_RIVER,19_COPPER_RIVER,19_COPPER_RIVER,9,,,,,CR52
4843,4843,,Ppho,60.366666,-146.116666,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,COPPER_RIVER,COPPER_RIVER,19_COPPER_RIVER,19_COPPER_RIVER,9,,,,,CR05
850,850,,Ppho,60.383333,-146.133333,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,COPPER_RIVER,COPPER_RIVER,19_COPPER_RIVER,19_COPPER_RIVER,9,,,,,CR01
73644,73644,,Ppho,60.716,-147.983,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,,,,,,GULF_OF_AK,WESTERN_GOA,COPPER_RIVER,COPPER_RIVER,COPPER_RIVER,19_COPPER_RIVER,19_COPPER_RIVER,9,,,,,CR01
74689,74689,,Ppho,59.55,-139.75,,,,,,GULF_OF_AK,EASTERN_GOA,YAKUTAT,,,,,,GULF_OF_AK,EASTERN_GOA,YAKUTAT,YAKUTAT,YAKUTAT,20_YAKUTAT,20_YAKUTAT,10,,,,,CR06
false_108,2008-086,,Ppho,59.55,-139.75,,,,,,GULF_OF_AK,EASTERN_GOA,YAKUTAT,,,,,,GULF OF AK,EASTERN GOA,YAKUTAT,YAKUTAT,YAKUTAT,20_YAKUTAT,20_YAKUTAT,10,,,CR seq sent by Kim Parsons 2/17/17,,CR06
79626,79626,,Ppho,59.55,-139.766666,,,,,,GULF_OF_AK,EASTERN_GOA,YAKUTAT,,,,,,GULF_OF_AK,EASTERN_GOA,YAKUTAT,YAKUTAT,YAKUTAT,20_YAKUTAT,20_YAKUTAT,10,,,,,CR06
79627,79627,,Ppho,59.55,-139.783333,,,,,,GULF_OF_AK,EASTERN_GOA,YAKUTAT,,,,,,GULF_OF_AK,EASTERN_GOA,YAKUTAT,YAKUTAT,YAKUTAT,20_YAKUTAT,20_YAKUTAT,10,,,,,CR06
72280,72280,,Ppho,59.645,-140,,,,,,GULF_OF_AK,EASTERN_GOA,YAKUTAT,,,,,,GULF_OF_AK,EASTERN_GOA,YAKUTAT,YAKUTAT,YAKUTAT,20_YAKUTAT,20_YAKUTAT,10,,,,,CR06
